,index,num_moms,model,dataset,PH_size_fit,sample_size
0,1,5.0,general,df_general.csv,50.0,2.0
1,2,5.0,general,df_general.csv,100.0,0.0
2,3,5.0,hyper,df_general.csv,20.0,0.0
3,4,5.0,hyper,df_general.csv,50.0,0.0
4,5,5.0,hyper,df_general.csv,100.0,0.0
5,7,5.0,cox,df_general.csv,50.0,0.0
6,8,5.0,cox,df_general.csv,100.0,0.0
7,11,5.0,general,df_cox.csv,100.0,0.0
8,18,5.0,general,df_hyper.csv,20.0,38.0
9,19,5.0,general,df_hyper.csv,50.0,15.0
10,20,5.0,general,df_hyper.csv,100.0,0.0
11,27,10.0,general,df_general.csv,20.0,0.0
12,28,10.0,general,df_general.csv,50.0,33.0
13,29,10.0,general,df_general.csv,100.0,0.0
14,30,10.0,hyper,df_general.csv,20.0,0.0
15,32,10.0,hyper,df_general.csv,100.0,0.0
16,33,10.0,cox,df_general.csv,20.0,0.0
17,34,10.0,cox,df_general.csv,50.0,8.0
18,35,10.0,cox,df_general.csv,100.0,0.0
19,38,10.0,general,df_cox.csv,100.0,0.0
20,47,10.0,general,df_hyper.csv,100.0,0.0
21,54,20.0,general,df_general.csv,20.0,12.0
22,55,20.0,general,df_general.csv,50.0,5.0
23,56,20.0,general,df_general.csv,100.0,0.0
24,58,20.0,hyper,df_general.csv,50.0,3.0
25,59,20.0,hyper,df_general.csv,100.0,0.0
26,60,20.0,cox,df_general.csv,20.0,17.0
27,61,20.0,cox,df_general.csv,50.0,2.0
28,62,20.0,cox,df_general.csv,100.0,0.0
29,65,20.0,general,df_cox.csv,100.0,0.0
30,71,20.0,cox,df_cox.csv,100.0,4.0
31,74,20.0,general,df_hyper.csv,100.0,0.0
32,80,20.0,cox,df_hyper.csv,100.0,27.0
