,diag_0_0,diag_0_1,diag_0_2,diag_0_3,diag_0_4,diag_1_0,diag_1_1,diag_1_2,diag_1_3
0,-3.4828427077878357,-2.12367162723381,-2.3597271785778253,-1.760621196228636,-4.116614549903798,3.2822767604919645,0.8936261885880309,1.006224977562051,0.21486391425581308
1,-1.2583027398032554,-10.192579719406686,-9.618265964024099,-12.31261891540353,-6.542366701929553,1.1473579347633387,7.109697185710794,6.119730636446863,3.3487322325359834
2,-1.3524127655278375,-3.570463045967367,-4.294607789294462,-4.32967595522512,-4.006707493385473,1.0692864301232088,0.3850659735855166,2.701341785470171,2.2303342154774293
3,-1.3227175563630968,-5.318690052484179,-18.77893715480249,-16.59191195842881,-16.091194228240376,1.1830718886849063,4.496419735302725,7.217824291517016,16.564981971161394
4,-1.4486142362092096,-3.1159095215990553,-2.573833351733065,-4.429914843076133,-1.9905678611888233,1.0592670608692545,0.533984027881416,1.9840033865744147,0.4123380569050622
5,-1.4586327972171285,-10.283956012990119,-10.158890272419304,-3.9043692261145706,-2.580385781875234,0.9572333655722922,10.093441938134513,5.68127217376433,2.6558157075834825
6,-1.912823869620203,-1.6397345505986778,-14.872203212670396,-13.437514537006347,-11.841584512124786,1.3773887825526625,0.5604815348659002,9.923212227190268,9.007176820555765
7,-4.359338065055443,-2.8072296508889423,-2.5022695782541193,-2.4353126981528392,-4.755390193742099,3.332636371489806,2.6142951863597683,1.627294757277813,0.5914510380838631
8,-2.078878337957546,-2.1654210525642696,-1.1200991755354492,-1.0590140719810297,-1.1702978393548282,1.8495284882253689,0.2681034186679252,0.06582532013614448,0.7010367169567011
9,-2.608385756246683,-1.7846499565194478,-6.672740222014021,-1.7803937485707366,-5.247859824400131,2.059679379020227,1.3512724262098716,1.442094937400602,0.8665154075753775
10,-1.5112960581934873,-6.755965232596321,-5.904212451852381,-2.7138941161518133,-4.379368773392199,1.3008365356840021,4.572320820333396,2.0402461966176233,2.247927864727583
